,All natural disasters (Occurrence),Drought (Occurrence),Earthquake (Occurrence),Extreme temperature (Occurrence),Extreme weather (Occurrence),Flood (Occurrence),Impact (Occurrence),Landslide (Occurrence),Mass movement (dry) (Occurrence),Volcanic activity (Occurrence),Wildfire (Occurrence),LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1900,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.501583333333333,0.31475000000000003,14.3895,0.3875833333333334,2.5756666666666668,0.40625,15.143916666666668,0.15025,6.1475,0.2591666666666667,0.48000000000000015,7.809999999999999,3.1275,196.72416666666663,8.291666666666666,15.357500000000002,18.570000000000004
1901,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.541916666666665,0.30624999999999997,14.512166666666667,0.44816666666666666,2.4904999999999995,0.39749999999999996,15.073333333333332,0.14575000000000002,7.8425,0.3108333333333333,0.49000000000000005,7.691666666666666,3.1366666666666667,254.85166666666666,10.098333333333334,15.94833333333333,22.736666666666665
1902,9.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,8.304416666666667,0.29275,14.36425,0.39433333333333337,2.20375,0.3561666666666667,14.958333333333334,0.13549999999999998,8.416666666666666,0.32583333333333336,0.5700000000000001,8.1825,3.235,257.2316666666666,9.944166666666668,17.400833333333335,21.956666666666667
1903,8.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,8.220166666666668,0.29,14.085749999999997,0.38975,2.2833333333333337,0.37825000000000003,14.836583333333335,0.13483333333333336,7.211666666666669,0.3408333333333333,0.5758333333333334,8.285000000000002,3.3458333333333337,217.1141666666667,10.285833333333334,17.355,17.635833333333334
1904,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.090916666666667,0.2864166666666667,14.063666666666663,0.5,2.1710833333333333,0.33775,14.810416666666669,0.13308333333333333,7.0491666666666655,0.3283333333333333,0.5083333333333333,8.279166666666667,3.436666666666666,212.65416666666667,9.913333333333334,15.347500000000004,16.29
1905,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.225166666666665,0.27875,14.082166666666668,0.36949999999999994,2.3432500000000003,0.3775833333333334,14.954666666666666,0.129,8.985833333333334,0.3216666666666667,0.5883333333333333,8.3575,3.4574999999999996,268.65333333333336,9.594166666666665,17.56833333333333,19.3125
1906,17.0,1.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,8.379083333333332,0.27491666666666664,14.244,0.38400000000000006,2.486416666666667,0.3421666666666667,15.031916666666667,0.12858333333333333,9.621666666666668,0.3675,0.7183333333333333,8.570833333333335,3.5400000000000005,280.49083333333334,10.719166666666666,20.949166666666667,18.719166666666663
1907,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.947166666666667,0.2571666666666666,13.807833333333335,0.36541666666666667,2.0031666666666665,0.3146666666666667,14.87483333333333,0.12583333333333332,7.840000000000001,0.4216666666666667,0.7058333333333332,9.069166666666668,3.7616666666666663,216.0958333333333,11.618333333333332,19.450833333333332,13.409166666666671
1908,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.186083333333334,0.27475,14.038750000000006,0.35200000000000004,2.17475,0.3695000000000001,14.838166666666671,0.12508333333333335,7.775833333333334,0.4183333333333334,0.6166666666666666,8.736666666666665,3.8191666666666664,222.07583333333332,11.969166666666668,17.645,13.137500000000001
1909,11.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,8.17825,0.26275,14.026583333333337,0.3674166666666667,2.157583333333333,0.37833333333333324,14.790333333333335,0.11950000000000001,9.7125,0.4216666666666667,0.6775000000000001,9.435,3.8275,257.03333333333336,11.16916666666667,17.915000000000003,14.858333333333334
1910,15.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.223,0.26008333333333333,14.097333333333333,0.33025,2.157666666666667,0.42474999999999996,14.819083333333333,0.11758333333333333,9.351666666666665,0.45749999999999996,0.7433333333333335,9.770000000000001,3.9424999999999994,239.2791666666666,11.6875,19.035833333333333,13.549999999999999
1911,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,8.177000000000001,0.24783333333333338,13.987833333333334,0.33775,2.2501666666666664,0.31024999999999997,14.776000000000002,0.11516666666666668,9.235000000000001,0.4699999999999998,0.6541666666666667,9.005833333333333,3.9933333333333336,256.3958333333333,13.040833333333333,18.159166666666668,14.248333333333333
1912,7.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.165416666666667,0.2584166666666667,14.053333333333335,0.33091666666666664,2.201,0.34975,14.877166666666666,0.11691666666666668,9.535,0.4750000000000001,0.65,9.6,4.211666666666667,248.08416666666665,12.375,16.895833333333336,13.734166666666667
